[2026-01-29 19:30:17,784] INFO: [JMAS] Gagal mengambil data.
[2026-01-29 19:30:18,511] ERROR: Gagal download TUGU.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/TUGU.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257816&period2=1769689816
[2026-01-29 19:30:18,513] INFO: [TUGU] Gagal mengambil data.
[2026-01-29 19:30:18,884] ERROR: Gagal download POLA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/POLA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257817&period2=1769689817
[2026-01-29 19:30:18,886] INFO: [POLA] Gagal mengambil data.
[2026-01-29 19:30:18,904] ERROR: Gagal download LIFE.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/LIFE.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257817&period2=1769689817
[2026-01-29 19:30:18,906] INFO: [LIFE] Gagal mengambil data.
[2026-01-29 19:30:19,203] INFO: [SFAN] Selesai. +4 data baru.
[2026-01-29 19:30:19,661] ERROR: Gagal download FUJI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/FUJI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257817&period2=1769689817
[2026-01-29 19:30:19,664] INFO: [FUJI] Gagal mengambil data.
[2026-01-29 19:30:20,307] ERROR: Gagal download AMAR.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AMAR.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257818&period2=1769689818
[2026-01-29 19:30:20,309] INFO: [AMAR] Gagal mengambil data.
[2026-01-29 19:30:20,347] INFO: [AMOR] Selesai. +4 data baru.
[2026-01-29 19:30:20,823] ERROR: Gagal download BHAT.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BHAT.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257818&period2=1769689818
[2026-01-29 19:30:20,825] INFO: [BHAT] Gagal mengambil data.
[2026-01-29 19:30:20,891] ERROR: Gagal download BANK.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BANK.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257819&period2=1769689819
[2026-01-29 19:30:20,893] INFO: [BANK] Gagal mengambil data.
